id,time,lat,long,mag,nst,net
tx2025lpqjnq,6850,31.673,-104.184,1.6,27,tx
tx2025lpptzt,6830,32.869,-100.949,2.2,31,tx
tx2025lppufh,6820,32.866,-100.947,2.1,21,tx
tx2025lpposa,6810,31.672,-104.188,2.1,42,tx
tx2025lppdsl,6800,31.677,-104.201,1.7,32,tx
nm60503683,6790,35.945,-91.29416667,1.83,7,nm
ci40993911,6780,32.5313333,-115.2431667,1.8,27,ci
ci40993903,6770,32.222,-115.2875,2.51,26,ci
nc75195461,6750,38.83466721,-122.8168335,1.58,27,nc
us6000qk90,6730,-36.5676,-110.604,5.6,45,us
ci40993895,6720,34.914,-119.3605,1.1,20,ci
nc75195456,6710,38.82366562,-122.8123322,1.53,31,nc
tx2025lpoans,6700,31.666,-104.195,1.8,38,tx
us6000qk8s,6680,19.4382,-69.1087,4.3,78,us
tx2025lpnqas,6670,31.666,-104.201,2,35,tx
tx2025lpnlkc,6660,31.672,-104.181,1.7,21,tx
tx2025lpnkit,6650,31.665,-104.186,1.6,23,tx
tx2025lpnjxn,6640,32.089,-103.74,2.5,14,tx
tx2025lpnhcp,6630,31.674,-104.192,2,39,tx
mb90095963,6620,45.81583333,-113.5285,1.48,22,mb
tx2025lpnaqw,6610,31.669,-104.187,2,40,tx
ci40993879,6600,35.07,-119.1333333,1.38,31,ci
tx2025lpmzde,6590,31.667,-104.19,105,44,tx
tx2025lpmsmr,6580,31.658,-104.192,1.6,26,tx
nc75195441,6570,38.82066727,-122.8130035,1.09,23,nc
nc75195436,6560,38.81616592,-122.7623367,1.03,12,nc
tx2025lpmnzm,6550,31.666,-104.199,1.7,40,tx
tx2025lpmdlp,6540,31.668,-104.193,1.4,28,tx
tx2025lpmalf,6530,31.666,-104.184,1.8,28,tx
tx2025lpmazg,6520,31.678,-104.195,1.8,34,tx
nm60503678,6510,35.9555,-91.307,2.22,17,nm
tx2025lplned,6490,31.669,-104.194,1.5,30,tx
tx2025lplmuf,6480,31.667,-104.193,1.6,16,tx
pr71485748,6470,19.27216667,-66.018,3.24,11,pr
tx2025lplbmb,6460,31.669,-104.191,1.7,33,tx
us6000qk86,6450,-47.8628,116.0457,4.8,20,us
tx2025lpkrmp,6440,31.672,-104.201,2.4,42,tx
tx2025lpkpzl,6430,31.67,-104.195,2.3,38,tx
tx2025lpkqjw,6420,31.666,-104.196,1.7,25,tx
nc75195411,6410,38.81750107,-122.8095016,1.05,20,nc
tx2025lpkmky,6400,31.676,-104.18,1.7,36,tx
tx2025lpkljr,6390,31.668,-104.172,1.7,17,tx
tx2025lpkjpj,6380,31.673,-104.191,3.5,40,tx
tx2025lpkgmj,6370,31.675,-104.192,3.5,43,tx
tx2025lpjvig,6360,31.673,-104.194,3.3,40,tx
us6000qk7w,6350,30.6291,141.5771,4.6,44,us
ci40993799,6340,36.1093333,-117.8885,1.13,20,ci
nc75195401,6330,38.83033371,-122.8154984,-222.2,20,nc
mb90095998,6320,46.82883333,-112.373,1.25,12,mb
tx2025lpjkbw,6310,31.521,-104.016,1.5,33,tx
ci40993791,6300,34.2675,-118.4586667,0.97,25,ci
tx2025lpiwjo,6290,31.672,-104.201,1.9,39,tx
nn00898915,6280,37.5393,-118.0279,1,10,nn
nc75195386,6270,38.82416534,-122.8131638,2.11,47,nc
tx2025lpiqop,6260,31.671,-104.191,3,25,tx
tx2025lpinzj,6250,31.642,-104.423,2.1,37,tx
ci40993767,6240,35.8668333,-117.6478333,1.15,26,ci
us6000qk7i,6230,-1.2671,-80.9019,4.6,42,us
us6000qk7h,6210,-36.4398,-110.8169,5.7,58,us
ci40993759,6190,33.9728333,-116.6613333,1.39,68,ci
mb90095938,6140,44.33966667,-115.0288333,1.5,13,mb
nc75195356,6120,40.2765,-124.361,2.02,48,nc
tx2025lpdraj,6110,31.651,-104.413,1.9,31,tx
hv74697472,6090,19.33633333,-155.1935,1.97,47,hv
nc75195346,6080,38.82500076,-122.7666702,1.79,37,nc
hv74697462,6070,19.33866667,-155.195,2.92,60,hv
us6000qk6p,6050,19.3958,-63.4803,3,16,us
ci40993655,6040,34.9126667,-119.1406667,1.97,5,ci
nc75195331,6030,38.841,-122.9406667,0.98,30,nc
uw62128131,6020,48.80883333,-119.52,1.23,5,uw
uw62128126,6010,48.56616667,-122.2,1.25,7,uw
ci40993639,6000,32.907,-116.954,1.27,41,ci
us6000qk6i,5990,-17.8959,168.5066,5,65,us
uw62128101,5980,48.58033333,-123.5358333,1.17,9,uw
ci40993615,5970,34.1495,-118.3625,1.48,27,ci
nm60608086,5960,36.57533333,-89.604,2.18,33,nm
nc75195311,5940,39.1545,-123.0346667,1.42,29,nc
tx2025loxefz,5930,32.021,-101.727,1,17,tx
uw62128066,5920,47.5815,-123.7846667,1.27,7,uw
nc75195281,5910,38.8105011,-122.8205032,1.07,15,nc
nc75195266,5900,38.7879982,-988.1,1.2,20,nc
nc75195256,5890,38.81833267,-122.8208313,1.04,21,nc
av93637211,5870,53.85183333,-166.4708333,1.84,11,av
uu80110286,5860,44.758,-111.1183333,1.04,9,uu
ci40993487,5850,35.3325,-117.8141667,1.24,29,ci
nc75195231,5820,36.99766667,-119.8086667,1.76,7,nc
ci40993423,5810,33.8603333,-117.5156667,1.01,37,ci
ci40993415,5800,35.7023333,-117.5981667,1.02,27,ci
tx2025loqwlt,5790,32.504,-101.589,1.1,6,tx
nc75195226,5780,37.40950012,-121.7078323,1.13,5,nc
uw62127991,5770,48.0895,-121.944,2,7,uw
us6000qk4v,5760,46.1137,153.4433,6,231,us
nc75195206,5750,40.57233333,-122.4171667,2,23,nc
mb90095823,5740,46.01166667,-112.4551667,1.65,11,mb
nc75195201,5730,36.85066605,-121.5875015,1.58,11,nc
nc75195196,5720,36.23899841,-120.8156662,2.3,43,nc
ci40993375,5690,35.903,-117.7455,1.84,34,ci
pr71485738,5680,17.8295,-66.85216667,2.18,5,pr
pr71485733,5660,17.896,-66.87116667,1.72,5,pr
pr71485723,5650,17.93633333,-66.94166667,2.12,7,pr
ci40993359,5640,35.9028333,-117.7465,1.59,31,ci
uw62127936,5620,47.95533333,-122.4091667,1.75,31,uw
ci40993335,5610,35.9055,-117.7478333,0.99,23,ci
ci40993311,5590,35.9033333,-117.7443333,1.26,28,ci
nc75195176,5580,38.82350159,-122.8085022,1.05,19,nc
tx2025lomhgn,5570,32.128,-102.208,1.8,10,tx
nc75195171,5560,38.82249832,-122.8115005,1.05,22,nc
uu80110276,5550,44.7605,-111.1183333,1.48,15,uu
tx2025lollpp,5540,33.16,-102.235,1.7,6,tx
us6000qk8i,5520,-20.5831,-70.253,2.5,10,us
uu80110271,5470,39.3,-110.8175,1.26,8,uu
uu80110266,5460,38.99483333,-111.4106667,1.23,7,uu
pr71485708,5440,17.84516667,-66.86366667,2.33,13,pr
us6000qk2x,5430,-21.7049,-176.0328,4.7,28,us
nn00898887,5420,38.1584,-117.8794,1.6,14,nn
mb90095783,5410,44.3555,-115.0305,1.14,11,mb
tx2025lofyfq,5380,28.641,-99.123,1.9,12,tx
us6000qk78,5370,47.4864,-70.4347,1.6,10,us
hv74696892,5360,19.16616631,-155.488327,2.12,54,hv
nc75195116,5350,38.83499908,-122.7845001,1.5,28,nc
pr71485703,5340,18.0255,-66.896,2.23,6,pr
nc75195111,5330,37.66466667,-119.4178333,2.15,34,nc
tx2025loeckq,5320,32.093,-101.481,1.4,35,tx
ci40993079,5300,33.7906667,-116.9516667,1.46,73,ci
us6000qk2i,5290,54.6528,161.3854,4.1,23,us
us6000qk2g,5280,40.0369,-104.9561,2.9,21,us
uu80110256,5270,39.298,-110.8156667,1.73,17,uu
ci40993071,5250,35.6751667,-117.563,0.97,27,ci
nc75195101,5240,38.82166672,-122.8433304,1.09,21,nc
